"","Technology","weighted_sum"
"790","CHP",245.748502994012
"791","CHP",229.843220338983
"792","Fuel_Cell",0
"793","Fuel_Cell",313.79430740038
"794","Fuel_Cell",591.107142857143
"795","Fuel_Cell",294.898203592814
"796","Fuel_Cell",275.81186440678
"797","Solar",94.3848837209302
"798","Solar",53.9136
"799","Solar",190.441525423729
"800","Solar",53.9136
"801","Solar",104.844943820225
"802","Battery",39.0558139534884
"803","Battery",35.3808
"804","Battery",78.8033898305085
"805","Battery",35.3808
"806","Battery",44.2314606741573
"807","CHP",130.186046511628
"808","CHP",37.0656
"809","CHP",229.843220338983
"810","CHP",37.0656
"811","CHP",131.056179775281
"812","Fuel_Cell",156.223255813954
"813","Fuel_Cell",0
"814","Fuel_Cell",275.81186440678
"815","Fuel_Cell",0
"816","Fuel_Cell",157.267415730337
"817","Solar",514.173913043478
"818","Solar",380.765993623804
"819","Solar",47.48625
"820","Solar",7.90779661016949
"821","Solar",474.924339106655
"822","Battery",187.871237458194
"823","Battery",152.634643995749
"824","Battery",30.526875
"825","Battery",4.94237288135593
"826","Battery",173.149498632634
"827","CHP",576.797658862876
"828","CHP",459.545164718385
"829","CHP",30.526875
"830","CHP",6.58983050847458
"831","CHP",527.693710118505
"832","Fuel_Cell",692.157190635451
"833","Fuel_Cell",551.454197662062
"834","Fuel_Cell",0
"835","Fuel_Cell",0
"836","Fuel_Cell",633.232452142206
"837","Solar",190.441525423729
"838","Solar",196.59880239521
"839","Solar",133.646218487395
"840","Solar",164.261083743842
"841","Battery",78.8033898305085
"842","Battery",83.5544910179641
"843","Battery",53.7844537815126
"844","Battery",68.9896551724138
"845","CHP",229.843220338983
"846","CHP",245.748502994012
"847","CHP",179.281512605042
"848","CHP",197.113300492611
"849","Fuel_Cell",275.81186440678
"850","Fuel_Cell",294.898203592814
"851","Fuel_Cell",215.13781512605
"852","Fuel_Cell",236.535960591133
"853","Solar",88.2969827586207
"854","Solar",666.569641214351
"855","Battery",39.2431034482759
"856","Battery",247.627506899724
"857","CHP",114.459051724138
"858","CHP",778.702851885925
"859","Fuel_Cell",137.350862068966
"860","Fuel_Cell",0
"861","Solar",176.360698689956
"862","Solar",196.59880239521
"863","Battery",68.5847161572052
"864","Battery",83.5544910179641
"865","CHP",228.615720524017
"866","CHP",245.748502994012
"867","Fuel_Cell",274.338864628821
"868","Fuel_Cell",294.898203592814
"869","Solar",190.885970149254
"870","Solar",176.360698689956
"871","Solar",373.710064239829
"872","Battery",78.509552238806
"873","Battery",68.5847161572052
"874","Battery",147.517130620985
"875","CHP",246.30447761194
"876","CHP",228.615720524017
"877","CHP",458.942184154176
"878","Fuel_Cell",0
"879","Fuel_Cell",274.338864628821
"880","Fuel_Cell",550.730620985011
"881","Solar",163.38785046729
"882","Solar",380.765993623804
"883","Solar",64.5425581395349
"884","Solar",585.70964028777
"885","Solar",196.59880239521
"886","Battery",68.6228971962617
"887","Battery",152.634643995749
"888","Battery",40.7637209302326
"889","Battery",217.173237410072
"890","Battery",83.5544910179641
"891","CHP",212.404205607477
"892","CHP",459.545164718385
"893","CHP",40.7637209302326
"894","CHP",674.553237410072
"895","CHP",245.748502994012
"896","Fuel_Cell",254.885046728972
"897","Fuel_Cell",551.454197662062
"898","Fuel_Cell",0
"899","Fuel_Cell",809.463884892086
"900","Fuel_Cell",294.898203592814
"901","Solar",67.3010526315789
"902","Solar",81.0589090909091
"903","Solar",241.9303514377
"904","Solar",190.441525423729
"905","Battery",45.4282105263158
"906","Battery",50.6618181818182
"907","Battery",98.0798722044728
"908","Battery",78.8033898305085
"909","CHP",47.1107368421053
"910","CHP",54.0392727272727
"911","CHP",310.586261980831
"912","CHP",229.843220338983
"913","Fuel_Cell",0
"914","Fuel_Cell",0
"915","Fuel_Cell",372.703514376997
"916","Fuel_Cell",275.81186440678
"917","Solar",367.558011049724
"918","Solar",546.449883810999
"919","Solar",47.48625
"920","Solar",474.924339106655
"921","Battery",142.756906077348
"922","Battery",202.449806351665
"923","Battery",30.526875
"924","Battery",173.149498632634
"925","CHP",443.038674033149
"926","CHP",625.454686289698
